Subgroup,Phase,Time Period,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Texas,1,2,2020-05-07,2020-05-12,39.7,34.9,44.7
Utah,1,2,2020-05-07,2020-05-12,39.2,34.5,44.0
Vermont,1,2,2020-05-07,2020-05-12,47.1,37.6,56.7
Virginia,1,2,2020-05-07,2020-05-12,50.4,44.1,56.6
Washington,1,2,2020-05-07,2020-05-12,50.9,46.4,55.5
West Virginia,1,2,2020-05-07,2020-05-12,45.6,38.4,53.0
Wisconsin,1,2,2020-05-07,2020-05-12,46.6,39.4,54.0
Wyoming,1,2,2020-05-07,2020-05-12,44.8,37.5,52.2
United States,1,3,2020-05-14,2020-05-19,44.8,44.0,45.6
18 - 29 years,1,3,2020-05-14,2020-05-19,41.0,38.9,43.2
30 - 39 years,1,3,2020-05-14,2020-05-19,44.2,42.3,46.2
40 - 49 years,1,3,2020-05-14,2020-05-19,45.7,43.7,47.7
50 - 59 years,1,3,2020-05-14,2020-05-19,48.7,47.0,50.5
60 - 69 years,1,3,2020-05-14,2020-05-19,46.6,44.5,48.7
70 - 79 years,1,3,2020-05-14,2020-05-19,41.0,38.0,44.2
80 years and above,1,3,2020-05-14,2020-05-19,43.7,37.9,49.6
Male,1,3,2020-05-14,2020-05-19,41.3,40.0,42.7
Female,1,3,2020-05-14,2020-05-19,48.1,47.0,49.2
Hispanic or Latino,1,3,2020-05-14,2020-05-19,42.2,39.5,44.9
"Non-Hispanic White, single race",1,3,2020-05-14,2020-05-19,45.8,44.9,46.8
"Non-Hispanic Black, single race",1,3,2020-05-14,2020-05-19,44.7,42.5,46.8
"Non-Hispanic Asian, single race",1,3,2020-05-14,2020-05-19,36.5,33.1,40.0
"Non-Hispanic, other races and multiple races",1,3,2020-05-14,2020-05-19,50.6,46.8,54.4
Less than a high school diploma,1,3,2020-05-14,2020-05-19,41.1,37.7,44.6
High school diploma or GED,1,3,2020-05-14,2020-05-19,39.7,38.1,41.2
Some college/Associate's degree,1,3,2020-05-14,2020-05-19,47.2,45.7,48.8
Bachelor's degree or higher,1,3,2020-05-14,2020-05-19,48.1,47.0,49.3
Alabama,1,3,2020-05-14,2020-05-19,43.9,38.6,49.4
Alaska,1,3,2020-05-14,2020-05-19,49.9,45.1,54.7
Arizona,1,3,2020-05-14,2020-05-19,45.8,41.2,50.5
Arkansas,1,3,2020-05-14,2020-05-19,40.1,35.5,44.8
California,1,3,2020-05-14,2020-05-19,46.1,43.0,49.2
Colorado,1,3,2020-05-14,2020-05-19,45.7,41.4,50.1
Connecticut,1,3,2020-05-14,2020-05-19,48.5,43.2,53.9
Delaware,1,3,2020-05-14,2020-05-19,38.7,33.9,43.7
District of Columbia,1,3,2020-05-14,2020-05-19,43.5,36.4,50.7
Florida,1,3,2020-05-14,2020-05-19,43.4,39.7,47.1
Georgia,1,3,2020-05-14,2020-05-19,45.6,40.8,50.6
Hawaii,1,3,2020-05-14,2020-05-19,42.1,35.3,49.0
Idaho,1,3,2020-05-14,2020-05-19,37.2,31.9,42.7
Illinois,1,3,2020-05-14,2020-05-19,47.3,42.6,52.0
Indiana,1,3,2020-05-14,2020-05-19,46.3,41.4,51.2
Iowa,1,3,2020-05-14,2020-05-19,40.9,36.2,45.7
Kansas,1,3,2020-05-14,2020-05-19,39.9,33.5,46.5
Kentucky,1,3,2020-05-14,2020-05-19,46.2,40.3,52.2
Louisiana,1,3,2020-05-14,2020-05-19,46.3,40.5,52.3
Maine,1,3,2020-05-14,2020-05-19,54.6,48.5,60.7
Maryland,1,3,2020-05-14,2020-05-19,47.2,41.9,52.6
Massachusetts,1,3,2020-05-14,2020-05-19,44.1,40.2,48.1
Michigan,1,3,2020-05-14,2020-05-19,45.5,41.1,50.0
Minnesota,1,3,2020-05-14,2020-05-19,41.6,37.1,46.2
Mississippi,1,3,2020-05-14,2020-05-19,47.0,41.2,52.9
Missouri,1,3,2020-05-14,2020-05-19,47.5,41.7,53.3
Montana,1,3,2020-05-14,2020-05-19,50.1,44.5,55.6
Nebraska,1,3,2020-05-14,2020-05-19,47.4,41.6,53.2
